Test,category,avg_false_positive,avg_false_negative,avg_error_rate,avg_best_time,avg_avg_time,avg_worst_time,avg_std_dev
Solovay-Strassen (k = 1),Probabilistische Tests,0.0018,0.0,0.0018,0.015222800000000002,0.0178719,0.0632796,0.05223836402173756
Solovay-Strassen (k = 2),Probabilistische Tests,0.0003,0.0,0.0003,0.022778299999999998,0.0273443,0.0966557,0.059054655318539144
Solovay-Strassen (k = 4),Probabilistische Tests,0.001,0.0,0.001,0.025564,0.028925,0.084802,0.013072027918954057
Solovay-Strassen (k = 5),Probabilistische Tests,0.0,0.0,0.0,0.030163,0.031907,0.087347,0.017816666146970164
Solovay-Strassen (k = 3),Probabilistische Tests,0.0002,0.0,0.0002,0.0382126,0.0474234,0.20316320000000002,0.11961639692150283
Fermat (k = 1),Probabilistische Tests,0.0043,0.0,0.0043,0.0565196,0.0775136,0.4117786,0.2047126938658491
Miller-Selfridge-Rabin (k = 1),Probabilistische Tests,0.0031,0.0,0.0031,0.0723525,0.0881022,0.2954044,0.09713707821170212
Fermat (k = 4),Probabilistische Tests,0.0,0.0,0.0,0.08297,0.09308,0.376924,0.05976551883185859
Fermat (k = 2),Probabilistische Tests,0.0004,0.0,0.0004,0.0815883,0.1118133,0.5197944999999999,0.23012315180878665
Miller-Selfridge-Rabin (k = 4),Probabilistische Tests,0.0,0.0,0.0,0.101777,0.11288899999999999,0.34006400000000003,0.03700141185792075
Fermat (k = 5),Probabilistische Tests,0.0,0.0,0.0,0.100616,0.114647,0.47712299999999996,0.07468430035636485
Miller-Selfridge-Rabin (k = 2),Probabilistische Tests,0.0001,0.0,0.0001,0.0965323,0.12076920000000001,0.4460732,0.22287502131747056
Miller-Selfridge-Rabin (k = 5),Probabilistische Tests,0.0,0.0,0.0,0.120402,0.134329,0.423308,0.048705576109354706
Fermat (k = 3),Probabilistische Tests,0.0,0.0,0.0,0.1372622,0.1965028,0.8570211999999999,0.29293217191771387
Miller-Selfridge-Rabin (k = 3),Probabilistische Tests,0.0,0.0,0.0,0.1696626,0.23054299999999997,0.830254,0.25299719816720545
